2023-01-25; 12:39:08.513; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:39:08.980; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99959959550858% complete 
2023-01-25; 12:39:10.169; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:39:12.243; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99959814870505% complete 
2023-01-25; 12:39:16.616; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:39:19.210; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:39:20.449; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99959525509807% complete 
2023-01-25; 12:39:20.776; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:39:22.653; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99959453169635% complete 
2023-01-25; 12:39:23.246; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:39:25.293; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:39:26.875; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:39:29.860; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99959199979043% complete 
2023-01-25; 12:39:33.067; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99959055298709% complete 
2023-01-25; 12:39:34.328; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:39:34.979; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:39:35.387; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:39:43.283; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99958693597894% complete 
2023-01-25; 12:39:43.428; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:39:44.084; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:39:46.493; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99958585087656% complete 
2023-01-25; 12:39:51.185; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:39:51.762; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99958404237262% complete 
2023-01-25; 12:39:53.490; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:39:54.287; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:39:54.968; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99958295727029% complete 
2023-01-25; 12:39:57.533; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:39:59.409; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:40:01.171; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99958042536495% complete 
2023-01-25; 12:40:07.580; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:40:08.496; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99957789345974% complete 
2023-01-25; 12:40:08.507; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:40:13.613; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:40:14.696; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99957572325538% complete 
2023-01-25; 12:40:16.623; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:40:20.733; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:40:22.662; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:40:22.905; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.9995728296497% complete 
2023-01-25; 12:40:24.208; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99957210624831% complete 
2023-01-25; 12:40:29.883; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:40:32.736; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:40:34.462; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.9995684892415% complete 
2023-01-25; 12:40:36.985; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:40:38.760; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99956704243884% complete 
2023-01-25; 12:40:39.778; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:40:43.089; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:40:44.817; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:40:47.195; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:40:48.960; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.9995634254324% complete 
2023-01-25; 12:40:51.853; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:40:52.291; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:40:56.394; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:40:57.157; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99956017012683% complete 
2023-01-25; 12:40:58.902; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:41:00.502; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:41:01.602; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:41:05.706; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:41:06.944; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:41:07.473; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.9995565531209% complete 
2023-01-25; 12:41:09.720; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99955582971974% complete 
2023-01-25; 12:41:10.009; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:41:11.044; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:41:12.094; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:41:14.806; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:41:15.021; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.9995540212169% complete 
2023-01-25; 12:41:15.905; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:41:20.272; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99955185101355% complete 
2023-01-25; 12:41:21.133; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:41:24.066; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:41:24.460; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99955040421139% complete 
2023-01-25; 12:41:25.167; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:41:29.265; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:41:30.182; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:41:32.238; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:41:34.658; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99954678720616% complete 
2023-01-25; 12:41:38.276; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:41:38.865; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99999602127535% complete 
2023-01-25; 12:41:39.362; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:41:44.316; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:41:44.457; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:41:45.063; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99999348935982% complete 
2023-01-25; 12:41:45.362; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:41:50.402; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:41:51.268; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99999131914663% complete 
